"dt","buyer_country","buyer_region","seller_country","seller_region","logistics_provider","parcel_qty","sum_apt","sum_bwt"
"2026-01-01","PH","Ilocos Region","PH","Ilocos Region","2GO Express","11928","10414.72","15281.22"
"2026-01-01","MY","Selangor","MY","Sabah","Pos Malaysia","13785","11141.05","101129.85"
"2026-01-01","MY","Sarawak","MY","Sabah","J&T","17612","13489.63","62568.18"
"2026-01-01","ID","South Sulawesi","ID","South Sulawesi","SiCepat","14106","11214.95","24505.87"
"2026-01-01","TH","Nakhon Sawan","TH","Nonthaburi","Kerry Express","25292","16841.12","59686.99"
"2026-01-01","ID","Bali","ID","Banten","Pos Indonesia","16867","11514.58","76197.72"
"2026-01-01","ID","East Java","ID","South Sulawesi","J&T","26621","20375.9","81585.41"
"2026-01-01","ID","North Sumatra","ID","Riau","Ninja Van","28368","20906.53","76350.05"
"2026-01-01","MY","Johor","MY","Penang","Pos Malaysia","24170","18370.42","76733.8"
"2026-01-01","PH","Ilocos Region","PH","SOCCSKSARGEN","DHL","12192","8867.4","63217.77"
"2026-01-01","PH","Bicol Region","PH","Calabarzon","J&T","31139","17208.51","59633.63"
"2026-01-01","PH","West Visayas","PH","Central Visayas","J&T","9143","6570.53","13288.07"
"2026-01-01","MY","Perak","MY","Selangor","J&T","13734","8943.62","22351.44"
"2026-01-01","TH","Khon Kaen","TH","BKK","J&T","20558","12687.74","48321.7"
"2026-01-01","ID","Jakarta","ID","North Sumatra","Pos Indonesia","11668","9228.37","57003.26"
"2026-01-01","MY","Negeri Sembilan","MY","Kuala Lumpur","J&T","17699","12557.02","22589.46"
"2026-01-01","ID","East Java","ID","Banten","DHL","10313","6151.5","30479.99"
"2026-01-01","TH","Nonthaburi","TH","Songkhla","DHL","12813","10342.22","39422.05"
"2026-01-01","ID","Bali","ID","Riau","DHL","21471","15724.5","148349.82"
"2026-01-01","ID","Jakarta","ID","Central Java","Pos Indonesia","20147","15684.44","41096.71"
"2026-01-01","TH","Chiang Mai","TH","Songkhla","Kerry Express","15420","13814.25","101106.94"
"2026-01-01","ID","Jakarta","ID","Riau","Pos Indonesia","30435","22925.65","105629.21"
"2026-01-01","MY","Pahang","MY","Selangor","Pos Malaysia","25030","17071.72","52966.75"
"2026-01-01","ID","South Sulawesi","ID","Central Java","J&T","16994","12052.21","81696.64"
"2026-01-01","TH","Songkhla","TH","Khon Kaen","Kerry Express","15225","14282.1","84780.14"
"2026-01-01","MY","Sabah","MY","Negeri Sembilan","J&T","13973","11283.92","90983.89"
"2026-01-01","TH","Nakhon Sawan","TH","BKK","Ninja Van","19724","12587.04","37044.87"
"2026-01-01","ID","West Java","ID","Banten","DHL","9116","5741.31","13524.73"
"2026-01-01","PH","NCR","PH","Central Luzon","2GO Express","30363","21200.77","35382.77"
"2026-01-01","MY","Johor","MY","Sarawak","J&T","24202","20312.29","76776.89"
"2026-01-01","MY","Sarawak","MY","Kuala Lumpur","FedEx","16082","10677.8","66667.53"
"2026-01-01","ID","East Java","ID","Central Java","Pos Indonesia","17033","13315.43","27622.05"
"2026-01-01","PH","Central Visayas","PH","Central Luzon","Ninja Van","30984","20385.28","83572.88"
"2026-01-01","TH","Chonburi","TH","BKK","Kerry Express","22032","14636.01","31365.71"
"2026-01-01","TH","Khon Kaen","TH","Nonthaburi","Ninja Van","24931","15648.31","56753.26"
